"date";"Ïàé";"Ñ×À";"id"
2018-06-09;236.34;85830523.89;166
2018-06-08;233.21;84693469.97;166
2018-06-07;232.85;84561860.06;166
2018-06-06;236.5;85886191.47;166
2018-06-05;232.33;85303058.6;166
2018-06-04;232.49;85361086.86;166
2018-06-01;228.52;83905300.1;166
2018-05-31;226.45;83143655.85;166
2018-05-30;229.2;84153867.04;166
2018-05-29;226.07;83004043.57;166
2018-05-28;225.5;81993144.63;166
2018-05-25;223.26;81367078.95;166
2018-05-24;223.37;81404748.87;166
2018-05-23;223.33;81414115.7;166
2018-05-22;227.34;82889724.49;166
2018-05-21;226.29;82508392.56;166
2018-05-18;224.79;81959930.94;166
2018-05-17;228.22;83212160.88;166
2018-05-16;228.42;83829621.06;166
2018-05-15;224.51;82395917.62;166
2018-05-14;225.13;84422464.43;166
2018-05-11;226.93;85097542.13;166
2018-05-10;228.96;85859791.78;166
2018-05-08;222.06;83273059.09;166
2018-05-07;222.05;85043026.63;166
2018-05-04;218.14;83550504.04;166
2018-05-03;207.25;79376680.52;166
2018-04-28;208.64;79910429.41;166
2018-04-27;208.32;79803018.82;166
2018-04-26;204.88;78482705.86;166
2018-04-25;198.2;75979247.48;166
2018-04-24;201.01;77058336.41;166
2018-04-23;202.64;77683822.97;166
2018-04-20;202.52;77635646.58;166
2018-04-19;206.43;79134640.05;166
2018-04-18;206.52;79170970.64;166
2018-04-17;209.65;80370400.43;166
2018-04-16;203.3;77934580.6;166
